2230,8,www.google.com,201.12.34.63
2231,9,www.facebook.com,201.12.34.64
2232,10,www.twitter.com,201.12.34.65
2233,11,www.rediff.com,201.12.34.66
2234,12,www.msn.com,201.12.34.67
2235,13,www.nytimes.com,201.12.34.68
2236,14,www.guardian.com,201.12.34.69
2237,8,www.google.com,201.12.34.70
2238,9,www.facebook.com,201.12.34.71
2239,10,www.twitter.com,201.12.34.72
2240,11,www.rediff.com,201.12.34.73
2241,12,www.msn.com,201.12.34.74
2242,13,www.nytimes.com,201.12.34.75
2243,14,www.guardian.com,201.12.34.76
2244,8,www.google.com,201.12.34.77
2245,9,www.facebook.com,201.12.34.78
2246,10,www.twitter.com,201.12.34.79
2247,11,www.rediff.com,201.12.34.80
2248,12,www.msn.com,201.12.34.81
2230,13,www.nytimes.com,201.12.34.82
2231,14,www.guardian.com,201.12.34.83
